year,sum_mln,organisation_name,organisation_type_name,organisation_type_code,region_code,region_name,gov_support_type
2016,4.9304,"Международный союз общественных организаций ""Международная ассоциация фондов мира""",Союз (ассоциация) общественных объединений,20,00,Министерство юстиции,grants
2013,1.5,"Санкт-Петербургская общественная организация ""Санкт-Петербургский институт биорегуляции и геронтологии СЗО РАМН""",Общественная организация,1,78,Санкт-Петербург,grants
2014,2.39562,"Общероссийский общественный фонд охраны культурного наследия ""Общественное Достояние России""",Общественный фонд,11,00,Министерство юстиции,grants
2016,11.428979,"Общероссийский общественный фонд охраны культурного наследия ""Общественное Достояние России""",Общественный фонд,11,00,Министерство юстиции,grants
2015,13.7,"Тульская областная молодёжная патриотическая общественная организация ""Родной край""",Общественная организация,1,71,Тульская область,grants
2016,4.4,Благотворительный фонд профилактики социального сиротства,Некоммерческий фонд,6,77,Москва,grants
2014,4,"Общероссийское общественное движение ""Социал-демократический союз молодежи СПРАВЕДЛИВАЯ СИЛА""",Общественное движение,13,00,Министерство юстиции,grants
2015,4,"Общероссийское общественное движение ""Социал-демократический союз молодежи СПРАВЕДЛИВАЯ СИЛА""",Общественное движение,13,00,Министерство юстиции,grants
2016,3.5,"Общероссийское общественное движение ""Социал-демократический союз молодежи СПРАВЕДЛИВАЯ СИЛА""",Общественное движение,13,00,Министерство юстиции,grants
2013,2.5,"Вологодское региональное отделение общероссийской общественной организации ""Союз пенсионеров России""",Общественная организация,1,35,Вологодская область,grants
2015,4.5,"Вологодское региональное отделение общероссийской общественной организации ""Союз пенсионеров России""",Общественная организация,1,35,Вологодская область,grants
2016,6.433901,"Вологодское региональное отделение общероссийской общественной организации ""Союз пенсионеров России""",Общественная организация,1,35,Вологодская область,grants
2013,2.5,Региональный общественный фонд изучения наследия П.А.Столыпина,Общественный фонд,11,77,Москва,grants
2015,3.048,Региональный общественный фонд изучения наследия П.А.Столыпина,Общественный фонд,11,77,Москва,grants
2013,4,"Автономная некоммерческая организация ""Институт региональных проблем""",Автономная некоммерческая организация,4,77,Москва,grants
2014,1.066,"Автономная некоммерческая организация ""Институт современных социально-гуманитарных исследований""",Автономная некоммерческая организация,4,15,Республика Северная Осетия - Алания,grants
2015,10.276,"Автономная некоммерческая организация ""Институт современных социально-гуманитарных исследований""",Автономная некоммерческая организация,4,15,Республика Северная Осетия - Алания,grants
2014,3.25639,"МЕЖРЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""КОНГРЕСС ЗАЩИТЫ ПРАВ И СВОБОД ЧЕЛОВЕКА ""МИР""",Общественная организация,1,91,Республика Крым,grants
2015,3.291986,"МЕЖРЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""КОНГРЕСС ЗАЩИТЫ ПРАВ И СВОБОД ЧЕЛОВЕКА ""МИР""",Общественная организация,1,91,Республика Крым,grants
