year,sum_mln,organisation_name,organisation_type_name,organisation_type_code,region_code,region_name,gov_support_type
2015,2.586333,"Санкт-Петербургская ассоциация общественных объединений родителей детей-инвалидов ""ГАООРДИ""",Союз (ассоциация) общественных объединений,20,78,Санкт-Петербург,subsidies
2014,7.8469,"частное образовательное учреждение высшего образования ""Омская юридическая академия""",Учреждение,8,55,Омская область,subsidies
2015,11.4572,"частное образовательное учреждение высшего образования ""Омская юридическая академия""",Учреждение,8,55,Омская область,subsidies
2016,13.5171,"частное образовательное учреждение высшего образования ""Омская юридическая академия""",Учреждение,8,55,Омская область,subsidies
2017,11.8231,"частное образовательное учреждение высшего образования ""Омская юридическая академия""",Учреждение,8,55,Омская область,subsidies
2014,0.6504,"Негосударственное аккредитованное некоммерческое частное образовательное учреждение высшего образования ""Академия маркетинга и социально-информационных технологий - ИМСИТ"" (г. Краснодар)",Учреждение,8,23,Краснодарский край,subsidies
2015,0.5776,"Негосударственное аккредитованное некоммерческое частное образовательное учреждение высшего образования ""Академия маркетинга и социально-информационных технологий - ИМСИТ"" (г. Краснодар)",Учреждение,8,23,Краснодарский край,subsidies
2016,0.6728,"Негосударственное аккредитованное некоммерческое частное образовательное учреждение высшего образования ""Академия маркетинга и социально-информационных технологий - ИМСИТ"" (г. Краснодар)",Учреждение,8,23,Краснодарский край,subsidies
2017,0.3056,"Негосударственное аккредитованное некоммерческое частное образовательное учреждение высшего образования ""Академия маркетинга и социально-информационных технологий - ИМСИТ"" (г. Краснодар)",Учреждение,8,23,Краснодарский край,subsidies
2016,34.14,"Автономная некоммерческая организация развития и просвещения культуры и искусства ""Новый век""",Автономная некоммерческая организация,4,77,Москва,subsidies
2017,2,"Автономная некоммерческая организация развития и просвещения культуры и искусства ""Новый век""",Автономная некоммерческая организация,4,77,Москва,subsidies
2017,50,"Благотворительный фонд поддержки деятелей искусства ""Артист""",Некоммерческий фонд,6,77,Москва,subsidies
2014,0.2099,"Автономная некоммерческая организация ""Издательский дом ""КАСПИЙ""",Автономная некоммерческая организация,4,30,Астраханская область,subsidies
2015,3.2199,"Автономная некоммерческая организация ""Издательский дом ""КАСПИЙ""",Автономная некоммерческая организация,4,30,Астраханская область,subsidies
2016,2.8739,"Автономная некоммерческая организация ""Издательский дом ""КАСПИЙ""",Автономная некоммерческая организация,4,30,Астраханская область,subsidies
2016,50,"Автономная некоммерческая организация ""Духовно-просветительский строительно-реставрационный центр ""СВЕТОЧ""",Автономная некоммерческая организация,4,16,Республика Татарстан (Татарстан),subsidies
2014,25,"Некоммерческий фонд поддержки кинематографа ""Пример интонации (Фонд Александра Сокурова)""",Некоммерческий фонд,6,78,Санкт-Петербург,subsidies
2016,25,"Некоммерческий фонд поддержки кинематографа ""Пример интонации (Фонд Александра Сокурова)""",Некоммерческий фонд,6,78,Санкт-Петербург,subsidies
2016,50,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ДУХОВНО-ПРОСВЕТИТЕЛЬСКИЙ ЦЕНТР РЫБИНСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ)""",Автономная некоммерческая организация,4,76,Ярославская область,subsidies
